projectid;startdate;enddate;simulationid;Location;IOPT;IDEM;IRRI;ISOW
in1;01.01.1973;31.12.1973;2;indiana;4;287;0;271
in1;01.01.1974;31.12.1974;3;indiana;4;287;0;275
in1;01.01.1975;31.12.1975;4;indiana;4;287;0;276
in1;01.01.1976;31.12.1976;5;indiana;4;287;0;277
in1;01.01.1977;31.12.1977;6;indiana;4;287;0;286
in1;01.01.1978;31.12.1978;7;indiana;4;287;0;271
in1;01.01.1979;31.12.1979;8;indiana;4;287;0;278
in1;01.01.1980;31.12.1980;9;indiana;4;287;0;273
in1;01.01.1981;31.12.1981;10;indiana;4;287;0;273
in1;01.01.1982;31.12.1982;11;indiana;4;287;0;286
in1;01.01.1983;31.12.1983;12;indiana;4;287;0;273
in1;01.01.1984;31.12.1984;13;indiana;4;287;0;279
in1;01.01.1985;31.12.1985;14;indiana;4;287;0;280
in1;01.01.1986;31.12.1986;15;indiana;4;287;0;284
in1;01.01.1987;31.12.1987;16;indiana;4;287;0;280
in1;01.01.1988;31.12.1988;17;indiana;4;287;0;280
in1;01.01.1989;31.12.1989;18;indiana;4;287;0;275
in1;01.01.1990;31.12.1990;19;indiana;4;287;0;274
