sName,variety,year,DOY,FINT,thisDisease
Indiana,Generic,1973,144,1,
Indiana,Generic,1973,187,0.25,
Indiana,Generic,1974,141,1,
Indiana,Generic,1974,189,0.25,
Indiana,Generic,1975,143,1,
Indiana,Generic,1975,188,0.25,
Indiana,Generic,1976,133,1,
Indiana,Generic,1976,189,0.25,
Indiana,Generic,1977,132,1,
Indiana,Generic,1977,187,0.25,
Indiana,Generic,1978,155,1,
Indiana,Generic,1978,198,0.25,
Indiana,Generic,1979,146,1,
Indiana,Generic,1979,198,0.25,
Indiana,Generic,1980,145,1,
Indiana,Generic,1980,192,0.25,
Indiana,Generic,1981,142,1,
Indiana,Generic,1981,190,0.25,
Indiana,Generic,1982,151,1,
Indiana,Generic,1982,189,0.25,
Indiana,Generic,1983,144,1,
Indiana,Generic,1983,189,0.25,
Indiana,Generic,1984,152,1,
Indiana,Generic,1984,191,0.25,
Indiana,Generic,1985,127,1,
Indiana,Generic,1985,180,0.25,
Indiana,Generic,1986,133,1,
Indiana,Generic,1986,197,0.25,
Indiana,Generic,1987,134,1,
Indiana,Generic,1987,205,0.25,
Indiana,Generic,1988,136,1,
Indiana,Generic,1988,178,0.25,
Indiana,Generic,1989,140,1,
Indiana,Generic,1989,187,0.25,
Indiana,Generic,1990,135,1,
Indiana,Generic,1990,184,0.25,
Indiana,Generic,1991,130,1,
Indiana,Generic,1991,172,0.25,
Indiana,Generic,1973,131,,8.955414031
Indiana,Generic,1973,137,,28.00956052
Indiana,Generic,1973,144,,30.25076132
Indiana,Generic,1973,152,,46.8118251
Indiana,Generic,1973,157,,51.85992219
Indiana,Generic,1973,164,,77.26464635
Indiana,Generic,1973,172,,95.42077151
Indiana,Generic,1973,174,,96.27189003
Indiana,Generic,1974,127,,5.2252825
Indiana,Generic,1974,134,,10.1217561
Indiana,Generic,1974,141,,20.88350606
Indiana,Generic,1974,148,,32.08005486
Indiana,Generic,1974,155,,46.66284743
Indiana,Generic,1974,162,,74.23616907
Indiana,Generic,1974,168,,94.7849001
Indiana,Generic,1974,175,,97.77039486
Indiana,Generic,1975,134,,3.7768516
Indiana,Generic,1975,143,,20.4845237
Indiana,Generic,1975,150,,37.8851828
Indiana,Generic,1975,157,,43.58860084
Indiana,Generic,1975,164,,56.18053182
Indiana,Generic,1975,166,,64.98439182
Indiana,Generic,1976,107,,0.313705456
Indiana,Generic,1976,114,,0.630786871
Indiana,Generic,1976,121,,1.423573351
Indiana,Generic,1976,128,,2.731386975
Indiana,Generic,1976,134,,8.301055191
Indiana,Generic,1976,141,,16.5222169
Indiana,Generic,1976,155,,31.83309408
Indiana,Generic,1976,162,,59.15611244
Indiana,Generic,1976,172,,89.98015035
Indiana,Generic,1977,145,,20.2864425
Indiana,Generic,1977,151,,45.18599559
Indiana,Generic,1977,160,,74.42368642
Indiana,Generic,1978,150,,11.80784739
Indiana,Generic,1978,156,,27.54853868
Indiana,Generic,1978,163,,23.46233264
Indiana,Generic,1978,171,,35.8972656
Indiana,Generic,1978,178,,49.2274276
Indiana,Generic,1979,134,,1.000742836
Indiana,Generic,1979,141,,3.599707344
Indiana,Generic,1979,149,,6.421884016
Indiana,Generic,1979,154,,26.18803296
Indiana,Generic,1979,162,,40.89643887
Indiana,Generic,1979,170,,70.90104152
Indiana,Generic,1980,135,,0
Indiana,Generic,1980,142,,0.003002164
Indiana,Generic,1980,154,,12.03693726
Indiana,Generic,1980,158,,20.88350606
Indiana,Generic,1980,167,,41.17582938
Indiana,Generic,1980,181,,86.10477346
Indiana,Generic,1981,124,,15.12180576
Indiana,Generic,1981,132,,26.75079788
Indiana,Generic,1981,139,,36.55402972
Indiana,Generic,1981,146,,60.672455
Indiana,Generic,1981,153,,60.8421125
Indiana,Generic,1981,160,,76.31178476
Indiana,Generic,1981,166,,87.31941176
Indiana,Generic,1981,181,,97.77039486
Indiana,Generic,1982,147,,1.423573351
Indiana,Generic,1982,155,,1.248096199
Indiana,Generic,1982,161,,7.062836911
Indiana,Generic,1982,171,,64.63403192
Indiana,Generic,1983,130,,0.871549231
Indiana,Generic,1983,137,,4.523028304
Indiana,Generic,1983,144,,18.83079578
Indiana,Generic,1983,151,,29.41518584
Indiana,Generic,1983,158,,45.0396029
Indiana,Generic,1983,165,,50.61264128
Indiana,Generic,1983,172,,71.8198284
Indiana,Generic,1984,149,,7.4855209
Indiana,Generic,1984,156,,9.495820959
Indiana,Generic,1984,164,,22.83001938
Indiana,Generic,1984,170,,37.6170722
Indiana,Generic,1985,127,,0
Indiana,Generic,1985,153,,10.8395644
Indiana,Generic,1985,180,,15.63991
Indiana,Generic,1986,140,,0.821516775
Indiana,Generic,1986,147,,4.378537711
Indiana,Generic,1986,154,,18.9261939
