model,param,value
disease,AssimilateSappersDamage,6.123272104864669
disease,CyclePercentageOnset,20.989550105801346
disease,DryCriticalInterruption,23.79886662236913
disease,HydroThermalTimeOnset,10.801295959460523
disease,LatencyDuration,14.731543173015542
disease,LightStealerDamage,1.162542096794001
disease,OuterInoculumMax,0.1655274873933587
disease,OuterInoculumShapeParameter,0.587346628025692
disease,PathogenSpread,0.036642983438275496
disease,RUEreducerDamage,0.4046629416258546
disease,Rain50Detachment,15.33168137223006
disease,RelativeHumidityCritical,67.38198601614246
disease,RelativeHumidityNotLimiting,86.74716649818681
disease,SporulationDuration,28.930251869554972
disease,Tmax,31.46534761231458
disease,Tmin,9.403206330398113
disease,Topt,21.62432233847662
disease,WetnessDurationMinimum,7.440034551339485
disease,WetnessDurationOptimum,25.15601998299072
