projectid;CURRENT.DATE;simulationid;WLVG;WLVD;WST;WRT;WSO;TAGB;TSUM;DVS;LAI;TRANRF;GRT;NNI;NPKI;ES0;ETC;TRMAX;EVMAX;WAVT;TPAR;TPARINT;FINT;RAIN;WBAL;WBALL;SMACT;TDRAIN;TRAIN;TRUNOF;TIRR;TESOIL;TTRANS;WTOT;TWDR;CFET;CFEV;CRAIRC;DEPNR;IAIRDU;IOPT;IRRI;KSUB;RDI;RDMCR;RDMSO;RUNFR;SM0;SMDRY;SMFC;SMI;SMLOWI;SMW;RD;RR;RDM
in1;01.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.9026124273689116;0.9283147788516569;1.0E-4;0.9026124273689116;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;02.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.39756690086593355;0.4364060201308041;1.0E-4;0.39756690086593355;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;03.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.9371031539451183;1.101871828066647;1.0E-4;0.9371031539451183;9.999999999999998;0.0;0.0;0.0;14.9137220161037;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;04.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.9376076133635617;0.9605986271139142;1.0E-4;0.9376076133635617;9.999999999999998;0.0;0.0;0.0;3.51611179809197;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;05.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.6116464312713062;0.6592402110797255;1.0E-4;0.6116464312713062;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;06.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5898177033362292;0.6400314838265649;1.0E-4;0.5898177033362292;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;07.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.7738505741644478;0.8857808626981121;1.0E-4;0.7738505741644478;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;08.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.9406446911692988;1.0421333113768747;1.0E-4;0.9406446911692988;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;09.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.4661220467928086;0.4745791216651381;1.0E-4;0.4661220467928086;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;10.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.6735196198301557;0.7475285561262782;1.0E-4;0.6735196198301557;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
