projectid;CURRENT.DATE;simulationid;DOY;WLVG;WLVD;WST;WRT;WSO;TAGB;TSUM;DVS;LAI;TRANRF;GRT;NNI;NPKI;ES0;TRMAX;EVMAX;WAVT;TPAR;TPARINT;FINT;RAIN;WBAL;WBALL;SMACT;TDRAIN;TRAIN;TRUNOF;TIRR;TESOIL;TTRANS;WTOT;TWDR;CFET;CFEV;CRAIRC;DEPNR;IAIRDU;IOPT;IRRI;KSUB;RDI;RDMCR;RDMSO;RUNFR;SM0;SMDRY;SMFC;SMI;SMLOWI;SMW;RD;RR;RDM
in1;19.06.1974;in1_00__2;170;0.9529886325135198;63.21855637442171;80.30420435950407;29.36045525961533;191.42372750678513;394.1541128395049;2060.681;2.010680999999999;0.05446548515180538;1.0;0.0042586831909433645;0.08667965001605049;0.07454769876964039;3.929402805095404;0.13159615393613938;3.797113987863942;174.1161530327698;1569.045;350.4531000000893;0.032151092412163296;18.5768142226834;0.0;0.0;0.33929292242621567;393.9252407755639;851.8962389112836;0.0;0.0;305.0298482375319;103.82499686541806;424.1161530327696;381.26022934492903;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;1.25;0.0;1.25
in1;29.06.1975;in1_00__2;180;1.003544029767576;86.66208547923874;186.12983843003877;36.25986907023337;218.810585471344;602.6974985236399;2072.5015000000008;2.0225015;0.10807429571183856;1.0;0.0;1.0;0.020487118536546483;6.219479708883996;0.37941026731856603;5.809714109834738;127.9290823915322;1745.6599999999992;588.59288873619;0.06278688386789077;0.0;0.0;0.0;0.3023432659132256;246.91616159232439;695.1130585318243;0.0;0.0;267.86597991648904;177.4018346314784;377.92908239153195;389.21197355630363;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;1.25;0.0;1.25
in1;12.06.1976;in1_00__2;164;0.853655123916572;73.00173486947486;71.71746269441678;31.374935054301165;174.15144374451796;371.7498997617002;2053.245;2.0032450000000006;0.05109321905818078;1.0;0.029687350647488654;0.1318475520769032;0.1318475520769032;6.841415058676037;0.20657897336823414;6.623264731545588;138.14872206182412;1687.9050000000002;351.9103100466877;0.030190803463273075;0.0;5.6843418860808015E-14;0.0;0.3105189776494589;143.8535880612869;529.6123076282731;0.0;0.0;266.6976133286014;105.91238417656089;388.1487220618236;371.6488803385061;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;1.25;0.0;1.25
in1;25.06.1977;in1_00__2;176;1.0379717139480964;140.61072319072343;165.57681823284787;42.33067054782681;222.19817017878063;638.2238254296077;2071.0495;2.0210494999999997;0.1337441529449473;1.0;0.0;1.0;0.020703092324657172;4.572529776926141;0.34551904137045625;4.2034497099004815;85.64622173153523;1844.8399999999995;697.3381624793016;0.07711116615156677;6.11950755109092;0.0;0.0;0.2685169773852279;163.36543468193048;536.8937409177263;0.0;0.0;187.26386412845588;225.6182203758048;335.64622173153487;383.53234796058575;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;1.25;0.0;1.25
in1;02.07.1978;in1_00__2;183;0.9853751834171325;109.2936728565703;182.58324087097367;41.20267814576067;183.80819829050705;578.8526636976304;2051.6055;2.0016055000000006;0.09926953531298491;1.0;0.0;1.0;0.033123443629928626;3.869557644965885;0.2194608072042745;3.63432621919471;124.93903155797312;1798.8550000000012;581.2983210919722;0.05782262051039344;20.9965467178677;5.6843418860808015E-14;0.0;0.29995122524637874;232.43201746112555;651.6993008697012;0.0;0.0;251.9688696199245;167.35938223067848;374.9390315579734;386.39458822776834;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;1.25;0.0;1.25
in1;29.06.1979;in1_00__2;180;0.8696393567888454;87.80928354955829;148.48051130995162;39.154735078601064;213.4285188910079;538.4107019967123;2061.0660000000003;2.011066000000001;0.07901942462607586;1.0;0.0;1.0;0.021142912461742148;3.734732896578043;0.173630162160159;3.553525136161064;98.10640351547903;1755.5349999999992;487.1237068970038;0.04630527621466141;18.08359324923;5.6843418860808015E-14;0.0;0.2784851228123832;302.0264014082127;670.2716959984265;0.0;0.0;251.83533847995196;143.30355259478262;348.106403515479;382.857874006962;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;1.25;0.0;1.25
in1;01.07.1980;in1_00__2;183;0.7096976526060252;84.73199341330867;167.22183274785726;35.1804054612855;190.32207308985315;552.8666742282845;2067.2099999999996;2.0172100000000004;0.09547033702019164;1.0;0.0;1.0;0.019029919702752966;4.426309620607657;0.24738391619246822;4.169886428643307;169.1075619673607;1729.5299999999997;549.2076851802232;0.05567245956010747;0.0;0.0;0.0;0.3352860495738884;294.3845345467681;762.2799424565657;0.0;0.0;261.35057192658786;162.43727401584852;419.1075619673605;379.1107741764557;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;1.25;0.0;1.25
in1;24.06.1981;in1_00__2;175;0.7463281231222921;82.93549151556395;155.55446015520678;33.952657751340226;197.58850874859442;528.8316126860286;2059.4274999999993;2.009427499999999;0.08142656333045875;1.0;0.0;1.0;0.016192802324908905;5.296134187956358;0.24767900785937605;5.0328532030019995;183.12863267705498;1714.8700000000015;505.09393342242356;0.04768168730075462;0.0;0.0;0.0;0.34650290614164386;296.5209003403708;785.885488511294;0.0;0.0;275.57443768495585;155.66151780891227;433.12863267705484;367.0721779617531;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;1.25;0.0;1.25
in1;02.07.1982;in1_00__2;183;0.808557969809203;118.59364082801096;182.8109835948062;39.3741888206662;170.16456497658294;598.6847797735273;2060.180500000001;2.0101805;0.11429363067538259;1.0;0.0;1.0;0.015163988101586656;2.916340592752922;0.19457011713808042;2.7158498088681133;179.09723049685297;1828.650000000001;663.0673267438043;0.06627767208367896;2.51439511765739;0.0;0.0;0.343277784397482;335.23402280536584;820.1700191056918;0.0;0.0;242.24409615383962;188.59466964963337;429.09723049685255;378.8381018552012;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;1.25;0.0;1.25
in1;24.06.1983;in1_00__2;175;0.5732465005822609;63.081575967431654;82.81589812068033;28.332594275630456;231.55339124585447;435.2429403853878;2068.5970000000007;2.0185970000000006;0.07893206332090574;1.0;0.0;0.043116076675049124;0.03083605228918418;6.3853334600755325;0.2842735316804663;6.075778492918102;144.0577869291514;1616.210000000001;450.89274072484045;0.046255285295009;0.0;0.0;0.0;0.3152462295433208;396.2256175276649;808.2327985214729;0.0;0.0;257.94674377561057;135.00265028904613;394.057786929151;389.4084541092228;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;1.25;0.0;1.25
