site,year,month,day,tx,tn,p,rad,vp,rhx,rhn
indiana,1973,1,1,1.352,-4.766,0.0,9.38,0.331,77.20650039959027,49.140414517416175
indiana,1973,1,2,0.964,-7.032,0.0,9.63,0.277,76.84689493951191,42.28975545903756
indiana,1973,1,3,6.276,-4.823,14.9137220161037,1.29,0.399,93.47068319881566,41.86213570524223
indiana,1973,1,4,8.096,-3.863,3.51611179809197,4.48,0.572,100.0,52.97261816673179
indiana,1973,1,5,-4.465,-10.714,0.0,6.53,0.211,78.16809917474443,48.1075841841002
indiana,1973,1,6,-5.74,-11.155,0.0,7.08,0.185,70.99642844718645,46.47209215542849
indiana,1973,1,7,-4.421,-9.237,0.0,5.55,0.169,55.688200823755054,38.40374059892848
indiana,1973,1,8,-2.823,-6.848,0.0,7.53,0.195,53.334698629467916,39.30388539602986
indiana,1973,1,9,-5.419,-11.774,0.0,10.12,0.191,77.0370275060094,46.818084476992546
indiana,1973,1,10,-6.065,-13.912,0.0,7.6,0.128,61.433772962834,32.96350416799895
indiana,1973,1,11,-5.529,-9.908,0.0,9.49,0.173,60.110612231688556,42.76310579593576
indiana,1973,1,12,-1.379,-12.177,0.0,10.32,0.151,62.91736415517273,27.347542088269105
indiana,1973,1,13,3.926,-5.856,0.0,10.06,0.188,47.64646341868168,23.237560843105136
indiana,1973,1,14,5.618,-3.02,0.0,7.74,0.351,71.79442150068843,38.543251579756785
indiana,1973,1,15,3.472,-0.077,1.24239623539779,4.39,0.59,97.13762654692935,75.30035801279675
indiana,1973,1,16,9.647,-0.355,0.0,10.16,0.593,99.63062344987422,49.448977554750385
indiana,1973,1,17,13.05,4.116,0.0,5.77,0.729,88.91057239539698,48.513430240921004
indiana,1973,1,18,14.068,7.362,0.0,5.63,0.904,88.0202738786118,56.30038522645957
indiana,1973,1,19,12.005,0.103,2.88033735728277,3.91,0.824,100.0,58.73018658172102
indiana,1973,1,20,2.579,-3.804,0.0,8.32,0.425,92.18929157278406,57.7899929989259
indiana,1973,1,21,3.665,-3.831,9.12553880260702,2.72,0.399,86.72532935767208,50.23394004299187
indiana,1973,1,22,7.421,2.953,5.90677717826793,4.05,0.835,100.0,80.97424846467688
indiana,1973,1,23,2.087,-1.434,1.66867180723784,3.25,0.526,95.6502821414686,74.0796024843752
indiana,1973,1,24,5.075,-4.843,0.0,11.31,0.304,71.32385296471041,34.668039329983856
indiana,1973,1,25,11.407,-2.62,0.0,11.31,0.539,100.0,39.965793365072464
indiana,1973,1,26,9.843,-2.414,0.0,4.78,0.667,100.0,54.892453012456556
indiana,1973,1,27,9.783,0.606,0.0,7.34,0.807,100.0,66.68207669569333
indiana,1973,1,28,6.294,-3.595,9.24240350718719,2.28,0.715,100.0,74.92290136745318
indiana,1973,1,29,-2.485,-6.856,0.0,10.58,0.27,73.89364870782724,53.068711338944176
indiana,1973,1,30,1.046,-8.761,0.0,12.31,0.265,84.1139706027727,40.219007104894594
