CURRENTDAY	Irradiation	Tmin	Tmax	VapourPressure	WindSpeed	Precipitation
01.01.1973	9380.0	-4.766	1.352	0.331	4.3	0.0
02.01.1973	9630.0	-7.032	0.964	0.277	1.5	0.0
03.01.1973	1290.0	-4.823	6.276	0.399	3.7	14.9137220161037
04.01.1973	4480.0	-3.863	8.096	0.572	5.4	3.51611179809197
05.01.1973	6530.0	-10.714	-4.465	0.211	3.0	0.0
06.01.1973	7080.0	-11.155	-5.74	0.185	2.8	0.0
07.01.1973	5550.0	-9.237	-4.421	0.169	2.5	0.0
08.01.1973	7530.0	-6.848	-2.823	0.195	3.2	0.0
09.01.1973	10120.0	-11.774	-5.419	0.191	2.6	0.0
10.01.1973	7600.0	-13.912	-6.065	0.128	2.8	0.0
11.01.1973	9490.0	-9.908	-5.529	0.173	3.4	0.0
12.01.1973	10320.0	-12.177	-1.379	0.151	2.1	0.0
13.01.1973	10060.0	-5.856	3.926	0.188	3.7	0.0
14.01.1973	7740.0	-3.02	5.618	0.351	4.0	0.0
15.01.1973	4390.0	-0.077	3.472	0.59	2.1	1.24239623539779
16.01.1973	10160.0	-0.355	9.647	0.593	3.3	0.0
17.01.1973	5770.0	4.116	13.05	0.729	4.7	0.0
18.01.1973	5630.0	7.362	14.068	0.904	4.9	0.0
19.01.1973	3910.0	0.103	12.005	0.824	4.2	2.88033735728277
20.01.1973	8320.0	-3.804	2.579	0.425	1.8	0.0
21.01.1973	2720.0	-3.831	3.665	0.399	4.4	9.12553880260702
22.01.1973	4050.0	2.953	7.421	0.835	4.9	5.90677717826793
23.01.1973	3250.0	-1.434	2.087	0.526	5.1	1.66867180723784
24.01.1973	11310.0	-4.843	5.075	0.304	2.6	0.0
25.01.1973	11310.0	-2.62	11.407	0.539	2.8	0.0
26.01.1973	4780.0	-2.414	9.843	0.667	1.1	0.0
27.01.1973	7340.0	0.606	9.783	0.807	0.4	0.0
28.01.1973	2280.0	-3.595	6.294	0.715	2.0	9.24240350718719
29.01.1973	10580.0	-6.856	-2.485	0.27	4.6	0.0
30.01.1973	12310.0	-8.761	1.046	0.265	2.7	0.0
31.01.1973	6050.0	-4.024	5.335	0.416	3.3	0.0
01.02.1973	2320.0	4.523	9.933	0.818	5.1	6.6893982072429
02.02.1973	2620.0	4.368	10.665	0.991	3.5	7.82880726592339
03.02.1973	12660.0	-2.045	6.205	0.554	4.2	1.20686306036077
04.02.1973	12190.0	-0.638	11.615	0.556	3.5	0.0
05.02.1973	10980.0	0.745	11.917	0.701	1.8	0.0
06.02.1973	5810.0	2.241	8.008	0.704	1.4	0.0
07.02.1973	3400.0	-1.051	4.189	0.585	1.1	1.85925960539635
08.02.1973	10860.0	-7.974	-0.065	0.324	4.6	2.00664778014925
09.02.1973	14500.0	-12.282	-3.103	0.185	2.0	0.0
10.02.1973	9840.0	-10.671	-1.417	0.22	1.6	0.0
11.02.1973	14110.0	-9.681	0.248	0.219	2.5	0.0
12.02.1973	14650.0	-7.637	5.197	0.227	3.0	0.0
13.02.1973	4140.0	-3.179	3.646	0.366	3.1	1.21109783646034
14.02.1973	1640.0	0.926	3.353	0.688	1.9	2.42597601379657
15.02.1973	7330.0	-6.392	2.192	0.521	3.5	3.82308377243135
16.02.1973	9800.0	-13.221	-7.288	0.191	4.7	0.0
17.02.1973	15650.0	-13.652	-3.67	0.148	0.7	0.0
18.02.1973	12600.0	-6.636	2.384	0.202	2.2	0.0
19.02.1973	12150.0	-2.564	6.309	0.372	2.9	0.0
20.02.1973	9240.0	0.276	3.533	0.493	3.0	1.72289499003497
21.02.1973	12270.0	-2.97	0.646	0.416	3.6	0.0
22.02.1973	12840.0	-7.512	6.463	0.273	2.8	0.0
23.02.1973	10790.0	-2.756	4.259	0.469	3.0	0.0
24.02.1973	16180.0	-4.725	8.862	0.439	0.9	0.0
25.02.1973	12450.0	0.178	12.767	0.531	2.4	0.0
26.02.1973	3580.0	-1.451	8.569	0.602	2.3	0.0
27.02.1973	14160.0	-3.242	4.819	0.395	2.5	0.0
28.02.1973	16510.0	-5.046	8.972	0.48	1.1	0.0
01.03.1973	12950.0	0.875	12.579	0.654	3.4	0.0
02.03.1973	7460.0	5.294	13.161	0.889	2.9	1.20046722742018
03.03.1973	4030.0000000000005	8.642	13.538	1.143	1.6	3.2909155543166
04.03.1973	4230.0	7.259	12.336	1.133	1.6	0.0
05.03.1973	7910.0	7.741	14.825	1.165	2.0	13.1201177834441
06.03.1973	14700.0	4.752	20.903	1.133	2.6	0.0
07.03.1973	14690.0	11.296	18.849	1.303	3.8	15.3624117373852
08.03.1973	18350.0	3.324	16.485	0.816	0.9	0.0
09.03.1973	3510.0	3.579	11.897	0.824	3.2	11.729071321497
10.03.1973	6140.0	7.969	19.588	1.311	2.7	4.86386936546523
11.03.1973	7480.0	13.725	18.52	1.464	6.3	34.9966919753797
12.03.1973	9590.0	6.656	12.846	0.778	5.0	0.0
13.03.1973	14090.0	3.805	16.661	0.834	1.8	0.0
14.03.1973	11000.0	13.81	20.689	1.411	4.8	4.64763045300742
15.03.1973	18340.0	13.643	18.506	1.278	5.7	0.0
