CURRENTDAY	Irradiation	Tmin	Tmax	VapourPressure	WindSpeed	Precipitation
01.01.1973	9321	-3.6	2.8	0.331	4.3	0.0
02.01.1973	9499	-5.7	1.4	0.277	1.5	0.0
03.01.1973	1826	-3.9	6.9	0.399	3.7	15.3
04.01.1973	4015	-1.9	9.1	0.572	5.4	2.8
05.01.1973	5916	-7.5	-2.4	0.211	3.0	0.0
06.01.1973	7712	-9.0	-4.2	0.185	2.8	0.2
07.01.1973	5578	-7.6	-4.2	0.169	2.5	0.2
08.01.1973	7737	-6.6	-2.5	0.195	3.2	1.4
09.01.1973	9558	-10.1	-4.4	0.191	2.6	0.0
10.01.1973	8228	-12.7	-5.3	0.128	2.8	0.0
11.01.1973	9096	-9.8	-5.1	0.173	3.4	0.1
12.01.1973	10627	-11.7	-1.6	0.151	2.1	0.0
13.01.1973	10496	-6.4	3.9	0.188	3.7	0.0
14.01.1973	7715	-2.8	4.8	0.351	4.0	0.3
15.01.1973	4851	-0.1	3.7	0.590	2.1	1.5
16.01.1973	10128	-0.3	9.2	0.593	3.3	0.1
17.01.1973	8211	3.3	13.6	0.729	4.7	0.0
18.01.1973	6020	5.8	14.4	0.904	4.9	0.9
19.01.1973	4011	1.1	12.1	0.824	4.2	3.9
20.01.1973	9956	-2.9	3.3	0.425	1.8	0.0
21.01.1973	3017	-3.2	4.4	0.399	4.4	5.4
22.01.1973	4264	3.1	8.1	0.835	4.9	9.8
23.01.1973	3750	-0.3	3.1	0.526	5.1	1.7
24.01.1973	11569	-3.9	5.3	0.304	2.6	0.1
25.01.1973	11558	-2.4	11.2	0.539	2.8	0.0
26.01.1973	4973	-0.9	9.3	0.667	1.1	0.7
27.01.1973	6497	2.4	9.6	0.807	0.4	2.1
28.01.1973	1956	-1.5	6.4	0.715	2.0	8.5
29.01.1973	10976	-6.2	-1.7	0.270	4.6	1.1
30.01.1973	12067	-7.7	2.1	0.265	2.7	0.0
31.01.1973	5963	-3.7	6.0	0.416	3.3	0.1
01.02.1973	2455	4.2	10.2	0.818	5.1	7.4
02.02.1973	3005	4.4	11.1	0.991	3.5	6.3
03.02.1973	10389	-0.5	5.4	0.554	4.2	1.3
04.02.1973	12433	-0.7	11.6	0.556	3.5	0.0
05.02.1973	10955	1.7	11.7	0.701	1.8	0.2
06.02.1973	7305	2.8	8.7	0.704	1.4	0.1
07.02.1973	5040	-0.6	5.1	0.585	1.1	1.2
08.02.1973	10769	-6.1	1.8	0.324	4.6	5.1
09.02.1973	14018	-10.6	-2.6	0.185	2.0	0.0
10.02.1973	12071	-9.7	-1.5	0.220	1.6	0.0
11.02.1973	14679	-9.7	0.7	0.219	2.5	0.0
12.02.1973	14876	-7.5	5.3	0.227	3.0	0.0
13.02.1973	5065	-3.4	4.1	0.366	3.1	2.6
14.02.1973	1819	0.9	4.0	0.688	1.9	6.9
15.02.1973	6037	-3.7	2.7	0.521	3.5	3.9
16.02.1973	12328	-11.1	-4.7	0.191	4.7	0.6
17.02.1973	16153	-13.9	-3.8	0.148	0.7	0.0
18.02.1973	12743	-8.6	2.2	0.202	2.2	0.0
19.02.1973	14076	-3.1	6.9	0.372	2.9	0.0
20.02.1973	9912	-0.9	4.5	0.493	3.0	1.6
21.02.1973	12705	-3.4	2.4	0.416	3.6	0.7
22.02.1973	12955	-7.0	4.6	0.273	2.8	0.1
23.02.1973	11561	-3.8	5.2	0.469	3.0	0.1
24.02.1973	15832	-4.7	8.1	0.439	0.9	0.0
25.02.1973	12919	-1.2	12.3	0.531	2.4	0.2
26.02.1973	6177	-0.3	7.7	0.602	2.3	1.3
27.02.1973	10813	-3.1	3.5	0.395	2.5	0.3
28.02.1973	16897	-4.3	8.8	0.480	1.1	0.0
01.03.1973	13862	0.8	13.6	0.654	3.4	0.0
02.03.1973	6802	5.5	12.7	0.889	2.9	3.7
03.03.1973	4921	8.2	13.9	1.143	1.6	4.4
04.03.1973	7298	7.4	15.1	1.133	1.6	1.0
05.03.1973	8069	8.6	16.0	1.165	2.0	13.5
06.03.1973	15508	6.4	21.3	1.133	2.6	0.0
07.03.1973	12663	13.1	18.2	1.303	3.8	11.3
08.03.1973	18428	4.4	16.9	0.816	0.9	0.0
09.03.1973	5764	5.8	13.3	0.824	3.2	6.8
10.03.1973	8266	9.7	20.5	1.311	2.7	4.6
11.03.1973	9772	14.8	20.1	1.464	6.3	21.8
12.03.1973	11831	7.8	15.3	0.778	5.0	0.1
13.03.1973	14331	3.6	17.1	0.834	1.8	0.0
14.03.1973	7578	13.3	20.3	1.411	4.8	8.0
15.03.1973	18587	14.4	19.6	1.278	5.7	0.3
16.03.1973	6762	7.1	15.2	0.972	1.8	5.7
17.03.1973	8690	-0.9	8.5	0.604	6.3	25.8
18.03.1973	20720	-3.9	3.0	0.388	5.5	0.1
19.03.1973	20200	-5.8	6.8	0.414	1.6	0.0
20.03.1973	10916	-1.4	5.6	0.538	3.5	5.4
21.03.1973	20235	-3.4	5.5	0.429	3.9	0.2
22.03.1973	21745	-4.7	8.3	0.470	1.6	0.0
23.03.1973	20404	-2.5	10.6	0.508	2.5	0.0
24.03.1973	19552	1.7	16.4	0.610	3.3	0.0
25.03.1973	5583	6.9	13.5	0.860	3.8	17.0
26.03.1973	12228	6.1	13.5	0.921	3.5	7.7
27.03.1973	22542	0.9	14.5	0.634	2.7	0.0
28.03.1973	10387	4.8	14.9	0.807	2.3	2.0
29.03.1973	8624	9.0	15.6	1.228	2.9	14.1
30.03.1973	12846	7.9	14.9	1.100	1.4	1.4
