CURRENTDAY	Irradiation	Tmin	Tmax	VapourPressure	WindSpeed	Precipitation
01.01.1987	9800	-1.2	14	1.014	1.4	0
02.01.1987	10400	-1.4	15	1.014	1.4	0
03.01.1987	10900	-0.4	16.2	1.014	1.4	0
04.01.1987	10900	2	14.6	1.014	1.4	0
05.01.1987	11000	-0.2	15	1.014	1.4	0
06.01.1987	10100	-3.2	15.4	1.014	1.4	0
07.01.1987	5800	-2.6	11.6	1.014	1.4	0
08.01.1987	7400	2.4	14.6	1.014	1.4	0.2
09.01.1987	3800	9.6	12.8	1.014	1.4	11.5
10.01.1987	10200	7	14.8	1.014	1.4	3.1
11.01.1987	10800	1.6	13	1.014	1.4	0
12.01.1987	3900	3.6	12.4	1.014	1.4	44.2
13.01.1987	3900	6.4	13.6	1.014	1.4	19
14.01.1987	11500	0	8	1.014	1.4	0
15.01.1987	5300	1	5.8	1.014	1.4	2.2
16.01.1987	9500	-3.6	9	1.014	1.4	0
17.01.1987	10400	-1.8	10	1.014	1.4	0
18.01.1987	11000	-2	12.4	1.014	1.4	0
19.01.1987	11200	-1	14.6	1.014	1.4	0
20.01.1987	10700	-2	13	1.014	1.4	0
21.01.1987	11900	1.6	14.4	1.014	1.4	0
22.01.1987	11100	3	15.4	1.014	1.4	0
23.01.1987	6500	6.6	16.4	1.014	1.4	0
24.01.1987	9000	8	18.4	1.014	1.4	0
25.01.1987	5100	7	16	1.014	1.4	0.1
26.01.1987	4400	10	15.2	1.014	1.4	5.5
27.01.1987	8100	12	18.8	1.014	1.4	1.1
28.01.1987	5500	11.4	17	1.014	1.4	7.6
29.01.1987	5500	9.8	15.2	1.014	1.4	27.8
30.01.1987	6300	8	14.6	1.014	1.4	2.3
31.01.1987	7700	9.8	15.8	1.014	1.4	2.3
01.02.1987	4900	10	16.6	1.076	1.7	0
02.02.1987	4700	11.2	13.8	1.076	1.7	21.2
03.02.1987	7500	7.8	17.2	1.076	1.7	13
04.02.1987	9400	3.8	15.4	1.076	1.7	0
05.02.1987	13900	4.6	17	1.076	1.7	0
06.02.1987	13800	3.4	18	1.076	1.7	0
07.02.1987	14100	3.4	19.6	1.076	1.7	0
08.02.1987	14200	5	22.4	1.076	1.7	0
09.02.1987	8900	3.6	15.4	1.076	1.7	0.4
10.02.1987	5100	6.6	10	1.076	1.7	8.2
11.02.1987	8100	8.6	15.4	1.076	1.7	15.1
12.02.1987	10200	7	13.6	1.076	1.7	0
13.02.1987	6300	8	16.4	1.076	1.7	2.1
14.02.1987	14400	6.8	17.4	1.076	1.7	0
15.02.1987	14200	4.8	18.4	1.076	1.7	0
16.02.1987	7700	6.6	14.4	1.076	1.7	0
17.02.1987	13500	11.4	19.6	1.076	1.7	0.3
18.02.1987	9900	4.6	14	1.076	1.7	7.7
19.02.1987	15300	0	11.8	1.076	1.7	0
20.02.1987	13400	0	11.6	1.076	1.7	0
21.02.1987	5700	3.4	6	1.076	1.7	12.8
22.02.1987	16900	0.2	13.6	1.076	1.7	0
23.02.1987	5800	2.4	8.4	1.076	1.7	6.6
24.02.1987	6200	8.4	14.4	1.076	1.7	1.6
25.02.1987	15200	7.8	18.8	1.076	1.7	3.1
26.02.1987	14600	4.8	19.6	1.076	1.7	0
27.02.1987	16900	5.6	23.6	1.076	1.7	0
28.02.1987	17800	8	26.4	1.076	1.7	0
01.03.1987	17400	8.4	27.8	1.267	2	0
02.03.1987	16800	6	26.4	1.267	2	0
03.03.1987	16700	7	26	1.267	2	0
04.03.1987	16500	7.6	26	1.267	2	0
05.03.1987	16800	7.4	26	1.267	2	0
06.03.1987	16900	9	25	1.267	2	0
07.03.1987	16400	8.2	22.8	1.267	2	0
08.03.1987	11500	10	22.4	1.267	2	0
09.03.1987	12900	13	20	1.267	2	0
10.03.1987	13300	11.2	22.6	1.267	2	0
11.03.1987	17100	8.4	23.6	1.267	2	0
12.03.1987	13500	7.6	19.8	1.267	2	0
13.03.1987	12000	10.6	19	1.267	2	0
14.03.1987	16700	6.4	21.4	1.267	2	0
15.03.1987	15800	5.8	20.4	1.267	2	0
16.03.1987	17800	7	19.6	1.267	2	0
17.03.1987	19100	4.2	20.2	1.267	2	0
18.03.1987	18000	4.2	20.4	1.267	2	0
19.03.1987	14900	7.2	20.2	1.267	2	0
20.03.1987	18300	8.6	19.6	1.267	2	0
