CURRENTDAY	Irradiation	Tmin	Tmax	VapourPressure	WindSpeed	Precipitation
01.01.1969	1214	-6.7	5.7	0.652	2.4	3.2
02.01.1969	670	1.2	7.7	0.854	3.3	0
03.01.1969	1465	3.4	4.2	0.615	1.5	0
04.01.1969	837	-0.4	1.2	0.531	1.5	0
05.01.1969	1089	-2.7	0.8	0.465	1.3	0
06.01.1969	586	-2.7	0.2	0.412	2.3	0
07.01.1969	2386	-1.5	2.3	0.493	4	0
08.01.1969	1507	-0.8	2.8	0.629	2.7	0
09.01.1969	1884	0.4	4.7	0.706	1.3	0.2
10.01.1969	1884	-0.7	1.4	0.547	3.6	0.4
11.01.1969	419	-1.1	3.3	0.696	2.7	0.3
12.01.1969	1758	0.3	5.6	0.681	2.7	0.7
13.01.1969	879	1.2	10.2	0.885	4.4	0.1
14.01.1969	3349	5.2	9.1	0.758	3	7.2
15.01.1969	1633	3.4	5.7	0.706	2.6	1.9
16.01.1969	1382	3.6	7.2	0.731	4.2	0
17.01.1969	1298	2.4	6.6	0.731	3.8	0.7
18.01.1969	670	2.8	7.7	0.854	5.1	2.7
19.01.1969	586	4.7	6.7	0.842	3.2	1
20.01.1969	3014	0.3	7	0.785	2	0.5
21.01.1969	3014	1.1	7.7	0.747	3.9	0
22.01.1969	1465	3.8	10.7	1.03	2.7	9.3
23.01.1969	3056	7.2	8.2	0.866	1.3	0
24.01.1969	1256	2.6	8.3	0.785	1.3	0.3
25.01.1969	1005	2.3	9.7	1.11	1.7	0
26.01.1969	1758	7.7	9.6	1.016	2.4	0
27.01.1969	963	4.4	7.8	0.91	2.7	0
28.01.1969	2219	5.1	10.6	0.897	3.1	5.2
29.01.1969	2386	5.5	7.7	0.831	3.8	0
30.01.1969	670	4.3	8.6	0.802	3.9	0
31.01.1969	3475	5	7.5	0.572	5.6	0.2
01.02.1969	3977	0.8	6.8	0.706	3.1	3.3
02.02.1969	3224	3.1	5.5	0.547	6.9	2.1
03.02.1969	5527	-0.2	4.9	0.572	3.4	0.7
04.02.1969	4522	-4.8	4	0.602	0.2	0
05.02.1969	1633	-4.4	5.5	0.842	0.3	0.2
06.02.1969	1130	2.3	4.5	0.721	2.7	4.4
07.02.1969	3936	0.6	3.4	0.629	2.5	0.4
08.02.1969	6155	-2.7	2.9	0.52	3.1	5.4
09.02.1969	6071	-1.9	0.8	0.504	4.3	2.4
10.02.1969	7829	-5.2	1.2	0.493	1.1	0
11.02.1969	3852	-9.4	0.3	0.504	2.3	4.8
12.02.1969	1465	-6.5	0	0.493	2.8	6.1
13.02.1969	6573	-16.9	-4.8	0.316	0.6	0
14.02.1969	7285	-20.5	-5.5	0.304	0	0
15.02.1969	8792	-19.3	-1	0.304	1.2	0.1
16.02.1969	2763	-16.3	0.1	0.437	5.3	2.1
