"","site","year","month","day","tx","tn","p","rad"
"1","Indiana",1972,1,1,6.623,-2.085,0,7.45
"2","Indiana",1972,1,2,2.45,-3.212,3.31355929370147,9.44
"3","Indiana",1972,1,3,5.36,-2.956,0,8.31
"4","Indiana",1972,1,4,1.002,-4.786,5.40760755529845,2.37
"5","Indiana",1972,1,5,-5.355,-17.217,1.77676797511594,9.63
"6","Indiana",1972,1,6,-3.036,-13.748,0,9.93
"7","Indiana",1972,1,7,0.775,-3.964,0,9.5
"8","Indiana",1972,1,8,4.655,-10.63,0,9.51
"9","Indiana",1972,1,9,7.593,3.649,1.32133364667197,4.15
"10","Indiana",1972,1,10,7.777,-1.631,0,9.46
"11","Indiana",1972,1,11,6.33,-5.337,0,6.81
"12","Indiana",1972,1,12,8.85,-4.509,0,8.53
"13","Indiana",1972,1,13,8.25,-6.427,10.9769344329784,4.13
"14","Indiana",1972,1,14,-6.824,-17.374,0,10.87
"15","Indiana",1972,1,15,-18.301,-26.307,0,11.49
"16","Indiana",1972,1,16,-11.899,-30.803,0,10.66
"17","Indiana",1972,1,17,0.402,-11.904,0,10.76
"18","Indiana",1972,1,18,8.435,-0.785,0,3.88
"19","Indiana",1972,1,19,8.995,-3.265,0,9.79
"20","Indiana",1972,1,20,7.272,-0.684,2.26418972010833,3.86
"21","Indiana",1972,1,21,5.527,-3.938,0,7.56
"22","Indiana",1972,1,22,8.348,2.665,2.38276392013859,2.34
"23","Indiana",1972,1,23,3.873,-2.611,3.11960076857076,3.68
"24","Indiana",1972,1,24,13.159,-4.339,2.62364900765988,2.19
"25","Indiana",1972,1,25,7.439,-15.691,0,11.93
"26","Indiana",1972,1,26,-5.966,-12.962,0,10.02
"27","Indiana",1972,1,27,-6.251,-11.45,6.1834096908342,3.12
"28","Indiana",1972,1,28,-7.88,-16.677,2.88891100899491,11.97
"29","Indiana",1972,1,29,-10.264,-22.317,0,12.34
"30","Indiana",1972,1,30,-12.836,-16.131,0,12.81
"31","Indiana",1972,1,31,-0.677,-20.341,0,11.68
"32","Indiana",1972,2,1,0.74,-11.781,0,8.66
"33","Indiana",1972,2,2,2.24,-5.084,0,10.39
"34","Indiana",1972,2,3,0.642,-9.5,4.42036986351013,7.62
"35","Indiana",1972,2,4,-10.572,-18.998,0,11.97
"36","Indiana",1972,2,5,-3.044,-23.036,0,13.14
"37","Indiana",1972,2,6,0.542,-8.116,4.67950999736289,6.28
"38","Indiana",1972,2,7,-9.377,-20.828,0,14.75
"39","Indiana",1972,2,8,-12.179,-25.619,0,12.61
"40","Indiana",1972,2,9,-9.619,-20.643,0,14.39
"41","Indiana",1972,2,10,-6.778,-18.281,0,9.95
"42","Indiana",1972,2,11,0.588,-8.84,0,12.74
"43","Indiana",1972,2,12,3.628,-0.985,0,11.53
"44","Indiana",1972,2,13,1.306,-1.62,0,7.46
"45","Indiana",1972,2,14,9.969,-4.738,0,14.58
"46","Indiana",1972,2,15,5.938,-1.449,3.28867786282672,7.21
"47","Indiana",1972,2,16,3.974,-7.408,0,14.73
"48","Indiana",1972,2,17,10.228,-2.196,0,11.71
"49","Indiana",1972,2,18,5.343,-5.156,3.05338501920005,6.23
"50","Indiana",1972,2,19,-3.827,-8.862,0,14.96
"51","Indiana",1972,2,20,0.877,-13.284,0,15.88
"52","Indiana",1972,2,21,12.734,-1.302,0,9.34
"53","Indiana",1972,2,22,6.996,-10.975,0,16.45
"54","Indiana",1972,2,23,2.241,-4.982,5.26320934295654,3.5
"55","Indiana",1972,2,24,2.114,-3.318,0,9.44
"56","Indiana",1972,2,25,4.632,-4.327,0,12.11
"57","Indiana",1972,2,26,0.961,-5.058,3.39076855590292,17.14
"58","Indiana",1972,2,27,8.188,-6.929,0,15.03
"59","Indiana",1972,2,28,16.679,-2.035,0,14.07
"60","Indiana",1972,2,29,19.47,-0.94,0,16.29
"61","Indiana",1972,3,1,17.309,12.787,0,5.73
